,id,headshot,firstName,lastName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,heightInCentimeters,weightInKilograms,birthDate,birthCity,birthCountry,birthStateProvince
0,8480196,https://assets.nhle.com/mugs/nhl/20232024/BUF/8480196.png,{'default': 'Jacob'},{'default': 'Bryson'},78.0,D,L,69,174,175,79,1997-11-18,"{'default': 'London', 'sk': 'Londýn'}",CAN,{'default': 'Ontario'}
1,8477365,https://assets.nhle.com/mugs/nhl/20232024/BUF/8477365.png,{'default': 'Connor'},{'default': 'Clifton'},75.0,D,R,71,192,180,87,1995-04-28,{'default': 'Matawan'},USA,{'default': 'New Jersey'}
2,8480839,https://assets.nhle.com/mugs/nhl/20232024/BUF/8480839.png,{'default': 'Rasmus'},{'default': 'Dahlin'},26.0,D,L,75,204,191,93,2000-04-13,{'default': 'Lidkoping'},SWE,
3,8473446,https://assets.nhle.com/mugs/nhl/20232024/BUF/8473446.png,{'default': 'Erik'},{'default': 'Johnson'},6.0,D,R,76,225,193,102,1988-03-21,{'default': 'Bloomington'},USA,{'default': 'Minnesota'}
4,8481564,https://assets.nhle.com/mugs/nhl/20232024/BUF/8481564.png,{'default': 'Ryan'},{'default': 'Johnson'},33.0,D,L,73,195,185,88,2001-07-24,{'default': 'Newport Beach'},USA,"{'default': 'California', 'fr': 'Californie', 'sk': 'Kalifornia', 'sv': 'Kalifornien'}"
5,8480035,https://assets.nhle.com/mugs/nhl/20232024/BUF/8480035.png,{'default': 'Henri'},{'default': 'Jokiharju'},10.0,D,R,72,200,183,91,1999-06-17,"{'default': 'Oulu', 'sv': 'Uleåborg'}",FIN,
6,8482671,https://assets.nhle.com/mugs/nhl/20232024/BUF/8482671.png,{'default': 'Owen'},{'default': 'Power'},25.0,D,L,78,221,198,100,2002-11-22,{'default': 'Mississauga'},CAN,{'default': 'Ontario'}
7,8480807,https://assets.nhle.com/mugs/nhl/20232024/BUF/8480807.png,{'default': 'Mattias'},{'default': 'Samuelsson'},23.0,D,L,76,224,193,102,2000-03-14,"{'default': 'Philadelphia', 'fr': 'Philadelphie'}",USA,"{'default': 'Pennsylvania', 'fr': 'Pennsylvanie'}"
0,8481600,https://assets.nhle.com/mugs/nhl/20232024/VGK/8481600.png,{'default': 'Tobias'},"{'default': 'Bjornfot', 'cs': 'Björnfot', 'fi': 'Björnfot', 'sk': 'Björnfot'}",26.0,D,L,73,200,185,91,2001-04-06,{'default': 'Upplands Vasby'},SWE,
1,8479980,https://assets.nhle.com/mugs/nhl/20232024/VGK/8479980.png,{'default': 'Nicolas'},{'default': 'Hague'},14.0,D,L,78,240,198,109,1998-12-05,{'default': 'Kitchener'},CAN,{'default': 'Ontario'}
2,8477018,https://assets.nhle.com/mugs/nhl/20232024/VGK/8477018.png,{'default': 'Ben'},{'default': 'Hutton'},17.0,D,L,75,201,191,91,1993-04-20,{'default': 'Brockville'},CAN,{'default': 'Ontario'}
3,8481527,https://assets.nhle.com/mugs/nhl/20232024/VGK/8481527.png,{'default': 'Kaedan'},{'default': 'Korczak'},6.0,D,R,75,201,191,91,2001-01-29,{'default': 'Yorkton'},CAN,{'default': 'Saskatchewan'}
4,8474166,https://assets.nhle.com/mugs/nhl/20232024/VGK/8474166.png,{'default': 'Alec'},{'default': 'Martinez'},23.0,D,L,73,210,185,95,1987-07-26,{'default': 'Rochester Hills'},USA,{'default': 'Michigan'}
5,8475188,https://assets.nhle.com/mugs/nhl/20232024/VGK/8475188.png,{'default': 'Brayden'},{'default': 'McNabb'},3.0,D,L,76,215,193,98,1991-01-21,{'default': 'Davidson'},CAN,{'default': 'Saskatchewan'}
6,8481167,https://assets.nhle.com/mugs/nhl/20232024/VGK/8481167.png,{'default': 'Brayden'},{'default': 'Pachal'},94.0,D,R,74,202,188,92,1999-08-23,{'default': 'Estevan'},CAN,{'default': 'Saskatchewan'}
7,8474565,https://assets.nhle.com/mugs/nhl/20232024/VGK/8474565.png,{'default': 'Alex'},{'default': 'Pietrangelo'},7.0,D,R,75,215,191,98,1990-01-18,{'default': 'King City'},CAN,{'default': 'Ontario'}
8,8477447,https://assets.nhle.com/mugs/nhl/20232024/VGK/8477447.png,{'default': 'Shea'},{'default': 'Theodore'},27.0,D,L,74,197,188,89,1995-08-03,{'default': 'Aldergrove'},CAN,"{'default': 'British Columbia', 'fr': 'Colombie-Britannique', 'sk': 'Britská Kolumbia'}"
