,id,headshot,firstName,lastName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,heightInCentimeters,weightInKilograms,birthDate,birthCity,birthCountry,birthStateProvince
0,8484145,https://assets.nhle.com/mugs/nhl/20232024/BUF/8484145.png,{'default': 'Zach'},{'default': 'Benson'},9.0,L,L,70,170,178,77,2005-05-12,{'default': 'Chilliwack'},CAN,"{'default': 'British Columbia', 'fr': 'Colombie-Britannique', 'sk': 'Britská Kolumbia'}"
1,8481528,https://assets.nhle.com/mugs/nhl/20232024/BUF/8481528.png,{'default': 'Dylan'},{'default': 'Cozens'},24.0,C,R,75,195,191,88,2001-02-09,{'default': 'Whitehorse'},CAN,"{'default': 'Yukon Territory', 'fr': 'Yukon', 'sk': 'Teritórium Yukon'}"
2,8476878,https://assets.nhle.com/mugs/nhl/20232024/BUF/8476878.png,{'default': 'Zemgus'},{'default': 'Girgensons'},28.0,L,L,74,200,188,91,1994-01-05,"{'default': 'Riga', 'fi': 'Riika'}",LVA,
3,8478413,https://assets.nhle.com/mugs/nhl/20232024/BUF/8478413.png,{'default': 'Jordan'},{'default': 'Greenway'},12.0,L,L,78,231,198,105,1997-02-16,{'default': 'Canton'},USA,{'default': 'New York'}
4,8481522,https://assets.nhle.com/mugs/nhl/20232024/BUF/8481522.png,{'default': 'Peyton'},{'default': 'Krebs'},19.0,C,L,72,186,183,84,2001-01-26,{'default': 'Calgary'},CAN,{'default': 'Alberta'}
5,8479999,https://assets.nhle.com/mugs/nhl/20232024/BUF/8479999.png,{'default': 'Casey'},{'default': 'Mittelstadt'},37.0,C,L,73,195,185,88,1998-11-22,{'default': 'Eden Prairie'},USA,{'default': 'Minnesota'}
6,8473449,https://assets.nhle.com/mugs/nhl/20232024/BUF/8473449.png,{'default': 'Kyle'},{'default': 'Okposo'},21.0,R,R,72,216,183,98,1988-04-16,{'default': 'St. Paul'},USA,{'default': 'Minnesota'}
7,8478109,https://assets.nhle.com/mugs/nhl/20232024/BUF/8478109.png,{'default': 'Victor'},{'default': 'Olofsson'},71.0,L,L,71,182,180,83,1995-07-18,"{'default': 'Ornskoldsvik', 'sv': 'Örnsköldsvik'}",SWE,
8,8482175,https://assets.nhle.com/mugs/nhl/20232024/BUF/8482175.png,{'default': 'JJ'},{'default': 'Peterka'},77.0,R,L,72,189,183,86,2002-01-14,"{'default': 'Munich', 'cs': 'Mnichov', 'de': 'München', 'fi': 'München', 'sk': 'Mnichov', 'sv': 'München'}",DEU,
9,8482097,https://assets.nhle.com/mugs/nhl/20232024/BUF/8482097.png,{'default': 'Jack'},{'default': 'Quinn'},22.0,R,R,73,185,185,84,2001-09-19,{'default': 'Ottawa'},CAN,{'default': 'Ontario'}
10,8480762,https://assets.nhle.com/mugs/nhl/20232024/BUF/8480762.png,{'default': 'Eric'},{'default': 'Robinson'},,L,L,74,211,188,96,1995-06-14,{'default': 'Bellmawr'},USA,{'default': 'New Jersey'}
11,8475784,https://assets.nhle.com/mugs/nhl/20232024/BUF/8475784.png,{'default': 'Jeff'},{'default': 'Skinner'},53.0,L,L,71,200,180,91,1992-05-16,{'default': 'Toronto'},CAN,{'default': 'Ontario'}
12,8479420,https://assets.nhle.com/mugs/nhl/20232024/BUF/8479420.png,{'default': 'Tage'},{'default': 'Thompson'},72.0,C,R,78,220,198,100,1997-10-30,{'default': 'Phoenix'},USA,{'default': 'Arizona'}
13,8477949,https://assets.nhle.com/mugs/nhl/20232024/BUF/8477949.png,{'default': 'Alex'},{'default': 'Tuch'},89.0,R,R,76,215,193,98,1996-05-10,{'default': 'Syracuse'},USA,{'default': 'New York'}
0,8478020,https://assets.nhle.com/mugs/nhl/20232024/VGK/8478020.png,{'default': 'Michael'},{'default': 'Amadio'},22.0,R,R,73,200,185,91,1996-05-13,"{'default': 'Sault Ste. Marie', 'fr': 'Sault-Sainte-Marie'}",CAN,{'default': 'Ontario'}
1,8477964,https://assets.nhle.com/mugs/nhl/20232024/VGK/8477964.png,{'default': 'Ivan'},"{'default': 'Barbashev', 'cs': 'Barbašev', 'sk': 'Barbašev'}",49.0,C,L,72,198,183,90,1995-12-14,"{'default': 'Moscow', 'cs': 'Moskva', 'de': 'Moskau', 'fi': 'Moskova', 'fr': 'Moscou', 'sk': 'Moskva', 'sv': 'Moskva'}",RUS,
2,8482153,https://assets.nhle.com/mugs/nhl/20232024/VGK/8482153.png,{'default': 'Brendan'},{'default': 'Brisson'},19.0,C,L,72,191,183,87,2001-10-22,{'default': 'Los Angeles'},USA,"{'default': 'California', 'fr': 'Californie', 'sk': 'Kalifornia', 'sv': 'Kalifornien'}"
3,8477478,https://assets.nhle.com/mugs/nhl/20232024/VGK/8477478.png,{'default': 'William'},{'default': 'Carrier'},28.0,L,L,74,220,188,100,1994-12-20,{'default': 'LaSalle'},CAN,"{'default': 'Quebec', 'fr': 'Québec'}"
4,8481032,https://assets.nhle.com/mugs/nhl/20232024/VGK/8481032.png,{'default': 'Paul'},{'default': 'Cotter'},43.0,C,L,74,213,188,97,1999-11-16,{'default': 'Canton'},USA,{'default': 'Michigan'}
5,8481604,https://assets.nhle.com/mugs/nhl/20232024/VGK/8481604.png,{'default': 'Pavel'},{'default': 'Dorofeyev'},16.0,L,L,73,194,185,88,2000-10-26,"{'default': 'Nizhny Tagil', 'cs': 'Nižnyj Tagil', 'fi': 'Nižni Tagil', 'sk': 'Nižnyj Tagil'}",RUS,
6,8478403,https://assets.nhle.com/mugs/nhl/20232024/VGK/8478403.png,{'default': 'Jack'},{'default': 'Eichel'},9.0,C,R,74,203,188,92,1996-10-28,{'default': 'North Chelmsford'},USA,{'default': 'Massachusetts'}
7,8475278,https://assets.nhle.com/mugs/nhl/20232024/VGK/8475278.png,{'default': 'Byron'},{'default': 'Froese'},51.0,C,R,72,195,183,88,1991-03-12,{'default': 'Winkler'},CAN,{'default': 'Manitoba'}
8,8479353,https://assets.nhle.com/mugs/nhl/20232024/VGK/8479353.png,{'default': 'Brett'},{'default': 'Howden'},21.0,C,L,74,200,188,91,1998-03-29,{'default': 'Calgary'},CAN,{'default': 'Alberta'}
