,id,headshot,firstName,lastName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,heightInCentimeters,weightInKilograms,birthDate,birthCity,birthCountry,birthStateProvince
0,8482221,https://assets.nhle.com/mugs/nhl/20232024/BUF/8482221.png,{'default': 'Devon'},{'default': 'Levi'},27,G,L,72,192,183,87,2001-12-27,{'default': 'Dollard-des-Ormeaux'},CAN,"{'default': 'Quebec', 'fr': 'Québec'}"
1,8480045,https://assets.nhle.com/mugs/nhl/20232024/BUF/8480045.png,{'default': 'Ukko-Pekka'},{'default': 'Luukkonen'},1,G,L,77,217,196,98,1999-03-09,"{'default': 'Espoo', 'sv': 'Esbo'}",FIN,
0,8478499,https://assets.nhle.com/mugs/nhl/20232024/VGK/8478499.png,{'default': 'Adin'},{'default': 'Hill'},33,G,L,76,215,193,98,1996-05-11,{'default': 'Comox'},CAN,"{'default': 'British Columbia', 'fr': 'Colombie-Britannique', 'sk': 'Britská Kolumbia'}"
1,8480313,https://assets.nhle.com/mugs/nhl/20232024/VGK/8480313.png,{'default': 'Logan'},{'default': 'Thompson'},36,G,R,76,205,193,93,1997-02-25,{'default': 'Calgary'},CAN,{'default': 'Alberta'}
0,8474889,https://assets.nhle.com/mugs/nhl/20232024/TOR/8474889.png,{'default': 'Martin'},{'default': 'Jones'},31,G,L,77,203,196,92,1990-01-10,{'default': 'North Vancouver'},CAN,"{'default': 'British Columbia', 'fr': 'Colombie-Britannique', 'sk': 'Britská Kolumbia'}"
1,8478492,https://assets.nhle.com/mugs/nhl/20232024/TOR/8478492.png,"{'default': 'Ilya', 'cs': 'Ilja', 'fi': 'Ilja', 'sk': 'Iľja'}",{'default': 'Samsonov'},35,G,L,75,217,191,98,1997-02-22,{'default': 'Magnitogorsk'},RUS,
2,8479361,https://assets.nhle.com/mugs/nhl/20232024/TOR/8479361.png,{'default': 'Joseph'},{'default': 'Woll'},60,G,L,75,202,191,92,1998-07-12,{'default': 'Dardenne Prairie'},USA,{'default': 'Missouri'}
0,8480843,https://assets.nhle.com/mugs/nhl/20232024/ANA/8480843.png,"{'default': 'Lukas', 'cs': 'Lukáš', 'sk': 'Lukáš'}","{'default': 'Dostal', 'cs': 'Dostál', 'sk': 'Dostál'}",1,G,L,74,188,188,85,2000-06-22,{'default': 'Brno'},CZE,
1,8476434,https://assets.nhle.com/mugs/nhl/20232024/ANA/8476434.png,{'default': 'John'},{'default': 'Gibson'},36,G,L,74,210,188,95,1993-07-14,{'default': 'Pittsburgh'},USA,"{'default': 'Pennsylvania', 'fr': 'Pennsylvanie'}"
0,8477967,https://assets.nhle.com/mugs/nhl/20232024/VAN/8477967.png,{'default': 'Thatcher'},{'default': 'Demko'},35,G,L,76,192,193,87,1995-12-08,{'default': 'San Diego'},USA,"{'default': 'California', 'fr': 'Californie', 'sk': 'Kalifornia', 'sv': 'Kalifornien'}"
1,8479193,https://assets.nhle.com/mugs/nhl/20232024/VAN/8479193.png,{'default': 'Casey'},{'default': 'DeSmith'},29,G,L,72,181,183,82,1991-08-13,{'default': 'Rochester'},USA,{'default': 'New Hampshire'}
0,8471734,https://assets.nhle.com/mugs/nhl/20232024/NYR/8471734.png,{'default': 'Jonathan'},{'default': 'Quick'},32,G,L,73,215,185,98,1986-01-21,{'default': 'Milford'},USA,{'default': 'Connecticut'}
1,8478048,https://assets.nhle.com/mugs/nhl/20232024/NYR/8478048.png,{'default': 'Igor'},"{'default': 'Shesterkin', 'cs': 'Šesťorkin', 'sk': 'Šesťorkin'}",31,G,L,73,197,185,89,1995-12-30,"{'default': 'Moscow', 'cs': 'Moskva', 'de': 'Moskau', 'fi': 'Moskova', 'fr': 'Moscou', 'sk': 'Moskva', 'sv': 'Moskva'}",RUS,
0,8478007,https://assets.nhle.com/mugs/nhl/20232024/CBJ/8478007.png,{'default': 'Elvis'},{'default': 'Merzlikins'},90,G,L,75,184,191,83,1994-04-13,"{'default': 'Riga', 'fi': 'Riika'}",LVA,
1,8480193,https://assets.nhle.com/mugs/nhl/20232024/CBJ/8480193.png,{'default': 'Daniil'},{'default': 'Tarasov'},40,G,L,77,201,196,91,1999-03-27,"{'default': 'Novokuznetsk', 'cs': 'Novokuzněck', 'sk': 'Novokuzněck'}",RUS,
0,8475852,https://assets.nhle.com/mugs/nhl/20232024/CHI/8475852.png,{'default': 'Petr'},"{'default': 'Mrazek', 'cs': 'Mrázek', 'sk': 'Mrázek'}",34,G,L,74,188,188,85,1992-02-14,{'default': 'Ostrava'},CZE,
1,8482821,https://assets.nhle.com/mugs/nhl/20232024/CHI/8482821.png,{'default': 'Arvid'},{'default': 'Soderblom'},40,G,L,75,180,191,82,1999-08-19,{'default': 'Göteborg'},SWE,
0,8476316,https://assets.nhle.com/mugs/nhl/20232024/WPG/8476316.png,{'default': 'Laurent'},{'default': 'Brossoit'},39,G,L,75,203,191,92,1993-03-23,{'default': 'Port Alberni'},CAN,"{'default': 'British Columbia', 'fr': 'Colombie-Britannique', 'sk': 'Britská Kolumbia'}"
1,8476945,https://assets.nhle.com/mugs/nhl/20232024/WPG/8476945.png,{'default': 'Connor'},{'default': 'Hellebuyck'},37,G,L,76,207,193,94,1993-05-19,{'default': 'Commerce'},USA,{'default': 'Michigan'}
0,8475717,https://assets.nhle.com/mugs/nhl/20232024/EDM/8475717.png,{'default': 'Calvin'},{'default': 'Pickard'},30,G,L,73,206,185,93,1992-04-15,{'default': 'Moncton'},CAN,"{'default': 'New Brunswick', 'fr': 'Nouveau-Brunswick'}"
