,gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,gamesStarted,decision,shotsAgainst,goalsAgainst,savePctg,shutouts,opponentAbbrev,pim,toi,seasonId,playerId
0,2003020752.0,PIT,H,2004-01-27,0.0,0.0,{'default': 'Penguins'},{'default': 'Lightning'},1.0,L,38.0,5.0,0.868421,0.0,TBL,0.0,59:50,20032004,8470594
1,2003020734.0,PIT,H,2004-01-24,0.0,0.0,{'default': 'Penguins'},{'default': 'Avalanche'},1.0,L,33.0,5.0,0.848485,0.0,COL,0.0,57:40,20032004,8470594
2,2003020715.0,PIT,R,2004-01-22,0.0,0.0,{'default': 'Penguins'},"{'default': 'Senators', 'fr': 'Sénateurs'}",1.0,L,23.0,6.0,0.73913,0.0,OTT,0.0,39:59,20032004,8470594
3,2003020674.0,PIT,R,2004-01-16,0.0,0.0,{'default': 'Penguins'},{'default': 'Wild'},1.0,L,25.0,4.0,0.84,0.0,MIN,0.0,58:47,20032004,8470594
4,2003020408.0,PIT,R,2003-12-09,0.0,0.0,{'default': 'Penguins'},{'default': 'Canucks'},1.0,L,37.0,4.0,0.891892,0.0,VAN,0.0,60:24,20032004,8470594
5,2003020392.0,PIT,R,2003-12-06,0.0,0.0,{'default': 'Penguins'},{'default': 'Oilers'},1.0,L,42.0,4.0,0.904762,0.0,EDM,0.0,59:14,20032004,8470594
6,2003020354.0,PIT,H,2003-12-01,0.0,0.0,{'default': 'Penguins'},{'default': 'Thrashers'},1.0,W,27.0,3.0,0.888889,0.0,ATL,0.0,60:00,20032004,8470594
7,2003020331.0,PIT,H,2003-11-28,0.0,0.0,{'default': 'Penguins'},{'default': 'Rangers'},1.0,L,35.0,4.0,0.885714,0.0,NYR,0.0,59:55,20032004,8470594
8,2003020281.0,PIT,R,2003-11-21,0.0,0.0,{'default': 'Penguins'},{'default': 'Devils'},1.0,L,33.0,2.0,0.939394,0.0,NJD,0.0,59:46,20032004,8470594
9,2003020265.0,PIT,H,2003-11-19,0.0,0.0,{'default': 'Penguins'},{'default': 'Wild'},1.0,L,9.0,3.0,0.666667,0.0,MIN,0.0,19:32,20032004,8470594
10,2003020221.0,PIT,R,2003-11-12,0.0,0.0,{'default': 'Penguins'},{'default': 'Rangers'},1.0,L,42.0,6.0,0.857143,0.0,NYR,0.0,60:00,20032004,8470594
11,2003020201.0,PIT,R,2003-11-08,0.0,0.0,{'default': 'Penguins'},{'default': 'Lightning'},0.0,,5.0,1.0,0.8,0.0,TBL,0.0,11:20,20032004,8470594
12,2003020189.0,PIT,R,2003-11-07,0.0,0.0,{'default': 'Penguins'},{'default': 'Panthers'},1.0,L,45.0,5.0,0.888889,0.0,FLA,0.0,58:06,20032004,8470594
13,2003020170.0,PIT,R,2003-11-04,0.0,0.0,{'default': 'Penguins'},{'default': 'Maple Leafs'},1.0,L,38.0,4.0,0.894737,0.0,TOR,0.0,58:58,20032004,8470594
