,assists,gamesPlayed,gamesStarted,goalieFullName,goals,goalsAgainst,goalsAgainstAverage,lastName,losses,otLosses,penaltyMinutes,playerId,points,savePct,saves,seasonId,shootsCatches,shotsAgainst,shutouts,teamAbbrevs,ties,timeOnIce,wins
0,0,1,0,Adam Hauser,0,6,7.08428,Hauser,0,0.0,0,8467954,0,0.75,18,20052006,L,24,0,LAK,,3049,0
1,0,4,3,Maxime Ouellet,0,12,3.24909,Ouellet,2,1.0,2,8467895,0,0.8938,101,20052006,L,113,0,VAN,,13296,0
2,0,1,0,Robert McVicar,0,0,0.0,McVicar,0,0.0,0,8469750,0,,0,20052006,L,0,0,VAN,,164,0
3,0,2,1,Corey Crawford,0,5,3.47021,Crawford,0,1.0,0,8470645,0,0.87804,36,20052006,L,41,0,CHI,,5187,0
4,0,12,5,Reinhard Divis,0,37,4.67253,Divis,5,1.0,0,8468741,0,0.8398200000000001,194,20052006,L,231,0,STL,,28507,0
5,0,1,1,Dany Sabourin,0,4,11.67883,Sabourin,1,0.0,0,8467430,0,0.71428,10,20052006,L,14,0,PIT,,1233,0
6,0,1,1,Brian Eklund,0,3,3.09189,Eklund,1,0.0,0,8468706,0,0.8421000000000001,16,20052006,L,19,0,TBL,,3493,0
7,0,1,0,Chris Holt,0,0,0.0,Holt,0,0.0,0,8470772,0,1.0,2,20052006,L,2,0,NYR,,624,0
8,0,2,0,Gerald Coleman,0,2,2.77349,Coleman,0,1.0,0,8470813,0,0.8823500000000001,15,20052006,L,17,0,TBL,,2596,0
9,0,1,1,Frederic Cassivi,0,4,4.08974,Cassivi,1,0.0,0,8460696,0,0.8666600000000001,26,20052006,L,30,0,WSH,,3521,0
10,0,1,0,Jordan Sigalet,0,0,0.0,Sigalet,0,0.0,0,8469653,0,,0,20052006,L,0,0,BOS,,43,0
11,0,1,1,Brian Finley,0,7,7.0,Finley,1,0.0,0,8467879,0,0.8292600000000001,34,20052006,R,41,0,NSH,,3600,0
12,0,16,13,Jocelyn Thibault,0,60,4.46262,Thibault,9,3.0,2,8459432,0,0.8760300000000001,424,20052006,L,484,0,PIT,,48402,1
13,0,5,5,Steve Shields,0,19,4.28329,Shields,2,1.0,0,8458615,0,0.8527100000000001,110,20052006,L,129,0,ATL,,15969,1
14,0,2,1,Pekka Rinne,0,4,3.80147,Rinne,1,0.0,0,8471469,0,0.9,36,20052006,L,40,0,NSH,,3788,1
15,0,4,4,Jimmy Howard,0,10,2.9902800000000003,Howard,2,0.0,0,8470657,0,0.9038400000000001,94,20052006,L,104,0,DET,,12039,1
16,0,3,3,Josh Harding,0,8,2.59459,Harding,1,0.0,0,8470216,0,0.90361,75,20052006,R,83,1,MIN,,11100,2
17,0,7,4,Wade Dubielewicz,0,15,2.9001,Dubielewicz,3,0.0,0,8470584,0,0.8965500000000001,130,20052006,L,145,0,NYI,,18620,2
